,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8916,0.01,0.8655,0.0138,0.9083,0.0084,0.8417,0.0161
1000,0.9109,0.0161,0.899,0.0172,0.9245,0.0137,0.8807,0.0197
2000,0.9262,0.0064,0.9195,0.0082,0.9373,0.005,0.9058,0.0106
5000,0.9297,0.0106,0.9248,0.0135,0.9399,0.0079,0.9129,0.0174
10000,0.9257,0.0059,0.9181,0.0071,0.9347,0.0087,0.905,0.0085
,0.9149,0.0082,0.9064,0.0082,0.921,0.0094,0.8952,0.0084
