,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8827,0.0145,0.857,0.0199,0.8871,0.0205,0.838,0.0211
1000,0.9144,0.007,0.8948,0.0143,0.9119,0.0122,0.8822,0.0158
2000,0.9069,0.0131,0.8834,0.0175,0.8954,0.0151,0.8731,0.0197
5000,0.9252,0.0072,0.9168,0.0099,0.9305,0.0125,0.9055,0.0106
10000,0.9257,0.008,0.9224,0.0078,0.9347,0.0076,0.9125,0.0103
,0.9287,0.0097,0.9252,0.0104,0.939,0.0101,0.9139,0.0121
