,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8901,0.0164,0.8592,0.0156,0.9045,0.0141,0.8352,0.0175
1000,0.9238,0.0086,0.912,0.0111,0.9342,0.0069,0.8964,0.0139
2000,0.9243,0.0067,0.9187,0.0089,0.9347,0.0052,0.9063,0.0122
5000,0.9297,0.0085,0.9254,0.0097,0.9386,0.009,0.9146,0.0109
10000,0.9292,0.0077,0.9244,0.0085,0.936,0.0097,0.9147,0.0099
,0.9267,0.0069,0.9242,0.007,0.9389,0.0057,0.9121,0.0095
