,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8847,0.015,0.8613,0.0214,0.8901,0.0206,0.8422,0.0225
1000,0.9153,0.0072,0.8951,0.0149,0.9136,0.0119,0.8816,0.0166
2000,0.9079,0.0113,0.8847,0.0143,0.8969,0.0139,0.8743,0.0151
5000,0.9267,0.0053,0.918,0.0072,0.9334,0.0108,0.9052,0.0065
10000,0.9272,0.0067,0.924,0.0068,0.9359,0.0074,0.9142,0.0087
,0.9287,0.01,0.9259,0.0103,0.9395,0.0106,0.9145,0.0113
