,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8871,0.0129,0.8562,0.0116,0.9011,0.0137,0.8314,0.0125
1000,0.9223,0.0106,0.9105,0.0126,0.9332,0.0085,0.8945,0.0158
2000,0.9228,0.0092,0.9167,0.0116,0.9334,0.0072,0.9041,0.0153
5000,0.9322,0.0109,0.9275,0.0132,0.9415,0.0117,0.9158,0.0152
10000,0.9322,0.0074,0.9265,0.0091,0.9382,0.0109,0.9164,0.0095
,0.9262,0.0068,0.9247,0.0068,0.9383,0.0045,0.9133,0.0096
