,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8817,0.0141,0.8587,0.0158,0.8925,0.0158,0.8391,0.0173
1000,0.9134,0.0055,0.8922,0.0111,0.9143,0.0106,0.8763,0.0135
2000,0.9089,0.0092,0.8884,0.0161,0.9001,0.0151,0.8784,0.0176
5000,0.9307,0.005,0.9273,0.0051,0.9415,0.0054,0.9157,0.0066
10000,0.9218,0.0076,0.9171,0.0091,0.9315,0.0053,0.9062,0.0126
,0.9183,0.0067,0.9121,0.0068,0.9272,0.0053,0.9009,0.0083
