,accuracy mean,accuracy std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std
sqrt,0.8812,0.0117,0.8563,0.0142,0.8923,0.0144,0.8351,0.0159
1000,0.9163,0.006,0.8968,0.0119,0.9182,0.0102,0.881,0.0141
2000,0.9089,0.0067,0.8886,0.0141,0.9006,0.0135,0.8784,0.0153
5000,0.9292,0.005,0.9248,0.0059,0.9381,0.0081,0.9138,0.0054
10000,0.9218,0.0073,0.9184,0.0096,0.9322,0.005,0.9076,0.0136
,0.9203,0.0075,0.9137,0.0071,0.9287,0.0057,0.9026,0.0088
